Code,Airline Name
19031,Mackey International Inc.
19032,Munz Northern Airlines Inc.
19033,Cochise Airlines Inc.
19034,Golden Gate Airlines Inc.
19035,Aeromech Inc.
19036,Golden West Airlines Co.
19037,Puerto Rico Intl Airlines
19038,Air America Inc.
19039,Swift Aire Lines Inc.
19040,American Central Airlines
19041,Valdez Airlines
19042,Southeast Alaska Airlines
19043,Altair Airlines Inc.
19044,Chitina Air Service
19045,Marco Island Airways Inc.
19046,Caribbean Air Services Inc.
19047,Sundance Airlines
19048,Seair Alaska Airlines Inc.
19049,Southeast Airlines Inc.
19050,Alaska Aeronautical Indust.
19051,Imperial Airlines Inc.
19052,Trans Western Airlines Utah
19053,Wright Airlines Inc.
19054,Presidential Express
19055,Mississippi Valley Airlines
19056,Channel Flying Inc.
19057,Rocky Mountain Airways Inc.
19058,Midstate Airlines Inc.
19059,Sedalia Marshall Boonvl Stg
19060,Inlet Airlines
19061,Command Airways Inc.
19062,Emerald Airlines
19063,Orion Air Inc.
19064,Pan Am Express
19065,Air Micronesia Inc.
19066,Sunbird Inc.
19067,Wings West Airlines
19068,Southcentral Air Inc.
19069,Air Cargo Express Inc.
19070,Associated Aviation Act.
19071,Antilles Air Boats Inc.
19072,AAA Airlines
19073,Argosy Air Lines Inc.
19074,Air Bahia
19075,Airbama Incorporated
19076,Aeronaves Boringuena Inc.
19077,Alaska Central Airways Inc.
19078,Island Airlines Hawaii Inc.
19079,AAA-Action Air Carrier Inc.
19080,Air Cargo Enterprises Inc.
19081,Air Chaparral Inc.
19082,Alamo Commuter Airlines
19083,Air Central Inc. (1)
19084,Air Central Inc.
19085,Astec Air East Inc.
19086,American Flag Airlines Inc.
19087,Air Cargo America Inc.
19088,All Island Air
19089,Air Express Inc.
19090,Air Mont. Inc.
19091,Air Indiana
19092,Air-Lift Associates Inc.
19093,Brandt Air
19094,All Seasons Air Pacific
19095,North American Airlines Inc.
19096,American Inter-Island Inc.
19097,Air Nebraska Inc.
19098,Airways Of New Mexico Inc.
19099,Metro Air Northeast Vermont
19100,Air North/Nenana
19101,Trans New York
19102,Arizona Pacific Inc.
19103,Appalachian Flying Service
19104,Air Polynesia Inc.
19105,Arizona Aero Corp.
19106,Arnold Aviation
19107,Air Oregon
19108,Arrowhead Airways Inc.
19109,Amistad Airlines
19110,Alpine Air Services Inc.
19111,Asap Air Inc.
19112,Astro Airways
19113,Air Atlantic Airlines Inc.
19114,Pacific National Airways
19115,Atlantis Airlines Inc.
19116,Aerotransit Inc.
19117,Air Carolina
19118,Air Vectors Airways
19119,Aero Virgin Islands Corp.
19120,Aviation Services
19121,Southern Jersey Airways
19122,Business Aircraft Corp.
19123,Brennan & Hargreaves Inc.
19124,Bankair Inc.
19125,Bard-Air Corp.
19126,Baja Cortez Airlines
19127,Bennington Aviation Inc.
19128,Beyer Aviation
19129,Blackhawk Airways Inc.
19130,Bighorn Airways Inc.
19131,Birchwood Air Service
19132,Bremerton Aviation Inc.
19133,Boise Air Service
19134,Brower Airways Inc.
19135,Burlington Airways Inc.
19136,Coleman Air Transport
19137,Crawford Aviation Inc.
19138,C & M Airlines
19139,Metro Air Northeast N Y
19140,Catalina Airlines Inc.
19141,Air Virginia
19142,Carriba Air Inc.
19143,Cen-Tex Airlines Inc.
19144,Century Airlines (Cal)
19145,Chandler Flyer
19146,Charter Airlines
19147,Hammonds Commuter Air Serv.
19148,Choi Aviation Inc.
19149,Christman Air System
19150,Cal Sierra Airlines
19151,Centennial Airlines
19152,Cotton Belt Aviation Inc.
19153,Coker Aviation Inc.
19154,Commutair
19155,Coral Air Inc.
19156,Cosmopolitan Comm. Airline
19157,Southeastern Commuter
19158,Courtesy Air Service Inc.
19159,Capitol Air Lines
19160,Coastal Plains Commuter Inc.
19161,Commuter Airlines
19162,Crown Aviaiton Inc.
19163,Crown Airways Inc.
19164,Crested Butte Air Service
19165,Catskill Airways Inc.
19166,Century Airlines
19167,Cothron Aviation
19168,Catalina-Vegas Airlines
19169,Danbury Airlines
19170,Downeast Airlines Inc.
19171,Decatur Aviation
19172,DHL Airlines Inc.
19173,Dickman Aviation Services
19174,Desert Pacific Airways
19175,Desert Pacific Airlines Inc.
19176,Desert Airlines
19177,Executive Aviation Inc.
19178,Eastern Caribbean Airways
19179,Eastern Carolina Aviation
19180,Ede Aire
19181,Executive Four Winds
19182,Eagle Commuter Airlines Inc.
19183,East Hampton Aire Inc.
19184,East. Indiana Aviation Sale
19185,Air Pacific Inc.
19186,Erie Airways Inc.
19187,Empire Aero Service
19188,Evanston Aviation
19189,Federal Armored Service Inc.
19190,Young Flying Service
19191,Southern Airlines Inc.
19192,Florida Airlines Inc.
19193,Freedom Airlines Inc.
19194,Flamenco Airways Inc.
19195,Ford-Aire Inc.
19196,Foster Aviation
19197,Skycraft Inc.
19198,Far West Airlines
19199,General Aviation Inc.
19200,Gromer Aviation Inc.
19201,Central States Airline
19202,Golden Carriage Aire
19203,Midway Commuter
19204,Green Hills Aviation Ltd.
19205,Green Mountain Airlines Ltd.
19206,Copper State Airlines
19207,Isle Royale Seaplane Serv.
19208,Golden South Airlines Inc.
19209,Gull Air Inc.
19210,Gunnel Aviation Inc.
19211,Ross Aviation Inc.
19212,Heussler Air Service Corp
19213,Hensley Flying Service Inc.
19214,Long Island Airlines
19215,Holiday Airlines Inc.
19216,Iowa Airlines
19217,Pacific Coast Airlines
19218,Trans-National Airlines Haw
19219,Scenic Airlines Inc.
19220,Skystream Airlines
19221,Hawking Corporation
19222,Hyannis Aviation
19223,Iowa City Flying Service
19224,Idee Industries Inc.
19225,Inland Empire Airlines Inc.
19226,Indiana Airways Inc. (Pa)
19227,Indo-Pacific International
19228,Island Airlines
19229,Sunbelt Airlines Inc.
19230,Air Chico
19231,Jer-Don Air
19232,Knight Airlines Inc.
19233,Key Airlines
19234,Crown Air
19235,Chaparral Airlines Inc.
19236,Lancer Aviation Inc.
19237,Lawrence Aviation
19238,Havasu Airlines
19239,Lakeland Aviation
19240,Aero Commuter
19241,Las Vegas Airlines
19242,Magum Airlines
19243,The Maui Commuter
19244,Marshall's Air Inc.
19245,Maxair Inc.
19246,Mid Continental Airlines In
19247,Metro Airlines
19248,Metroplex Airlines
19249,Midway Aviation Inc.
19250,Miller Air Transportersinc
19251,Ocean Airways Inc.
19252,Cumberland Airlines
19253,Merrimack Aviation Inc.
19254,Midwest Aviation
19255,Arkansas Traveler Airline
19256,Metroflight Airlines
19257,National Air Commuter Inc.
19258,New Born Wings Inc.
19259,Nor East Commuter Airlines
19260,Nevada Airlines
19261,Northern Eagle Airways Inc.
19262,Newair Flight Inc.
