Code,Airline Name
19263,N. J. Merrimack Airlines
19264,E. J. A. Newport Inc.
19265,Northaire
19266,Lake State Airways
19267,New York Helicopter Corp.
19268,Harbor Airlines Inc.
19269,Ocean Reef Airways Inc.
19270,Offshore Logistics
19271,Omaha Aviation
19272,Corporate Air Inc.
19273,Omak Aviation Airlines
19274,Omni Pacific Airline
19275,Sun Aire Lines
19276,Air Kentucky Air Lines
19277,Permian Airways Inc.
19278,Provincetown Boston
19279,Piasa Commuter Airlines
19280,Trans Southern Airways
19281,Pearson Aircraft
19282,Air Pennsylvania
19283,Petro Aviation Corp.
19284,Phillips Airlines
19285,Phoenix Airlines
19286,Pacific Island Airways
19287,Planes Inc.
19288,Polar Airways Inc.
19289,Pacific Missionary Aviation
19290,Pioneer Airways
19291,Pocono Airlines Inc.
19292,Pompano Airways
19293,Ponderosa Aviation Inc.
19294,Princeton Aviation Corp
19295,Pro Air Services
19296,Precision Valley Aviation
19297,Bar Harbor Airways
19298,Royal-Air Ltd.
19299,Realwest Airlines
19300,Aerosun International Airlines Inc.
19301,Royal Hawaiian Airways Inc.
19302,Richardson Aviation
19303,Indiana Airways Inc. (Reid
19304,Rio Airways Inc.
19305,Riverside Air Service
19306,Michigan Airways Inc.
19307,Roederer Aviation Inc.
19308,Royal American Airways Inc.
19309,Air Rovers Inc.
19310,Sajen Air Inc.
19311,Samoan Airlines Inc.
19312,Air Cortez International
19313,Air Americana
19314,Saber Aviation Inc.
19315,Suburban Airlines
19316,Seaco Airlines Inc.
19317,Skyline Airlines
19318,South Coast Airways
19319,Semo Aviation Inc.
19320,Stahmannfarms Inc.
19321,Sfo Helicopter Airlines Inc.
19322,Sierra Flite Service Inc.
19323,Shasta Air Inc.
19324,Shavano Air Inc.
19325,Silver State Airlines
19326,San Juan Airlines Inc.
19327,Bas Airlines
19328,Scheduled Skyways
19329,Stopher Mechanical Inc.
19330,Gelco Courier Services Inc.
19331,Shawnee Airlines
19332,Mall Airways Inc.
19333,Soonair Lines Inc.
19334,Springfield Air Service
19335,Sterling Air Service
19336,Southern Seaplane
19337,Sierra Express Inc.
19338,Seaplane Shuttle Transport
19339,Trans East International
19340,Star Aviation Corporation
19341,Sun International Airways
19342,Sunbelt
19343,Sun Valley Airlines
19344,Sunwest Airlines
19345,Air Colorado
19346,Tejas Airlines Inc.
19347,Yosemite Airlines Inc.
19348,Trans Catalina Airlines
19349,Oceanair Line
19350,Trans California Airlines
19351,Trans-Central Airlines Inc.
19352,Trans-Colorado Airlines
19353,Tennessee Airways Inc.
19354,Terre Haute Air Commuter
19355,Thorson Aviation
19356,Trans Air Inc.
19357,Skyfreight
19358,Trans Mo Airlines
19359,Transtate Aviation
19360,Trans Pennsylvania Airlines
19361,Trans Sierra Airlines Inc.
19362,Tulsair Beechcraft Inc.
19363,Temsco Airlines
19364,Universal Airways Inc.
19365,Air U.S.
19366,Vagabond Aviation Inc.
19367,Britt Airlines Inc.
19368,Viking Express
19369,Vale International Airlines
19370,Valley Airlines
19371,Air East Airlines
19372,Walker's International
19373,Mountainwest Airlines
19374,Western Star Airlines Inc.
19375,Western Charter Inc.
19376,Wheeler Airlines
19377,Wisc Air
19378,Will's Air
19379,Wings Airways
19380,Mcphillips Flying Service
19381,Air New Mexico
19382,Winnipesaukee Aviation Inc.
19383,Skyway Aviation Inc.
19384,P.S. Air Freight Inc.
19385,Reeve Aleutian Airways Inc.
19386,Northwest Airlines Inc.
19387,Wien Air Alaska Inc.
19388,Southern Airways
19389,Air Florida Inc.
19390,Air California Inc.
19391,Pacific Southwest Airlines
19392,Rich International Airways
19393,Southwest Airlines Co.
19394,Mid-South Aviation Inc.
19395,Mid-South Aviation Inc. (1)
19396,Sky West Aviation Inc.
19397,Republic Airlines Inc.
19398,Dauphin Island Airways
19399,New York Air Inc.
19400,Global International Airways Corp.
19401,Colgan Airways Inc.
19402,Overseas National Airways
19403,Flight International
19404,Academy Airlines
19405,Check-Air Inc.
19406,Transwest Air Express
19407,Airgo Inc.
19408,American Air Transport
19409,Bo-S-Aire Airlines Inc.
19410,Combs Airways Inc.
19411,Summit Airlines Inc.
19412,Eagle Aviation Inc.
19413,Falwell Aviation Inc.
19414,Falcon Airways Inc.
19415,Pinehurst Airlines Inc.
19416,Great Western Airlines Inc.
19417,Air Freight Express
19418,S. S. Airways Inc.
19419,Aero Union Corp
19420,Air Express International Airlines
19421,Central American International
19422,Michigan Peninsula Airways
19423,WTC Airlines
19424,Profit Airlines Inc.
19425,CF Air Freight
19426,International Air Service
19427,Aeronaves De Puerto Rico
19428,Allstates Air Cargo Inc.
19429,Cam Air International Inc.
19430,Purolator Sky Courier Inc.
19431,Circle Airfreight Corp.
19432,Pacific Alaska Airlines Inc.
19433,Icb International Airlines
19434,Cohlmia Aviation
19435,Amerford Airways Inc.
19436,Astro-Wing Airlines Inc.
19437,Ball Brothers Inc.
19438,Burlington Northern Inc.
19439,Century Airlines Inc.
19440,Dallas Flight Center
19441,Jet Way Inc.
19442,Klondike Air Inc.
19443,Pat Air
19444,Phh Air Inc.
19445,Flight Line Inc.
19446,Viking International Airlines Inc.
19447,Capitol International Inc.
19448,Air Caravane Inc.
19449,Argo S. A.
19450,Norontair
19451,Alberta Northern Airlines
19452,Aviacion Y Comercio S.A.
19453,Air Bvi Limited
19454,Spantax S. A.
19455,Dan Air Services
19456,Maersk Air I/S
19457,Aerolineas Dominicanas S A
19458,Caribwest Airways Ltd.
19459,Execaire Aviation Ltd.
19460,Aero Trades (Western) Ltd.
19461,Fast Air Carrier Ltd. (1)
19462,Business Flights Ltd.
19463,Tar Airlines
19464,Transavia Holland B. V.
19465,Iscargo Hf
19466,Tradewinds Airways Ltd.
19467,Aerlinte Eireann Teoranta
19468,Iran National Airlines Corp
19469,Inair
19470,Allarco Developments Ltd.
19471,Transmeridian Air Cargo Ltd.
19472,Kelowna Flightcraft Air Cha
19473,Liat (1974) Limited
19474,Millardair Limited
19475,Montana Austria Flugetrieb
19476,P.N. Merpati Nusantara Air.
19477,North Cariboo Flying Serv.
19478,Norcanair
19479,Northward Airlines Ltd.
19480,North Coast Air Services
19481,National Aviation Consult.
19482,Air Niugini
19483,Nunasi-Central Airlines Ltd.
19484,Ontario Worldair Limited
19485,Pem-Air Limited
19486,Eastern Provincial Airways
19487,Pacific Western Airlines
19488,Inter-Quebec (Intair)
19489,Syrian Arab Airlines
19490,Aerotransportes Entre Rios
19491,Redcoat Air Cargo Limited
19492,Skycharter (Malton) Ltd.
19493,Superior Airways Limited
19494,Belize Airways Limited
19495,Skycraft Air Transport Inc.
19496,Trans-Mediterranean Airways
19497,British Caribbean Airways
19498,Air Manila Inc.
19499,Avalon Aviation Ltd.
19500,Wardair Canada Inc.
19501,Gateway Aviation Limited
19502,Windward Islands Airways
19503,Nal Inc.
19504,Yellow Bird Air
19505,Air Europe Limited
19506,Intair
19507,Yugoslav Airlines
19508,Union De Transports Aeriens
19509,Air Haiti S. A.
19510,Servicio Aereo De Honduras
19511,Sterling Airways A/S
19512,Aerolineas El Salvador S A
19513,Transp. Aereos Bolivianos
19514,Aeronaves Del Peru
19515,Compania Dominicana De Avia
19516,Nigeria Airways Ltd.
19517,Lineas Aereas Paraguayas
19518,Lufthansa Cargo Airlines
19519,Venezuelan International Airways
19520,Andes
19521,Compan. De Aviacion Faucett
19522,Aviateca
19523,Canadian Airlines International Ltd.
19524,Guyana Airways Corporation
19525,Seagreen Air Transport
19526,Air Nauru
19527,Aero Peru
19528,Balair Ag
19529,Sabena Belgian World Air.
19530,Air Afrique
19531,Air Canada
19532,Compagnie Natl Air France
19533,National Aviation Company of India Limited d/b/a Air India
19534,Aeromexico
19535,Aerolineas Argentinas
19536,Royal Air Maroc
19537,Aerovias Nacl De Colombia
19538,Finnair Oy
19539,Compagnia Aerea Italiana
19540,British Airways Plc
19541,British Midland Airways Ltd.
19542,Caribbean Airlines Limited
19543,Air China
19544,China Airlines Ltd.
19545,Cargolux Airlines International S.A
19546,Icelandair
19547,Iberia Air Lines Of Spain
19548,Japan Air Lines Co. Ltd.
19549,Air Jamaica Limited
19550,Korean Air Lines Co. Ltd.
19551,Klm Royal Dutch Airlines
19552,Lan-Chile Airlines
19553,Lloyd Aereo Boliviano S. A.
19554,Lufthansa German Airlines
19555,Polskie Linie Lotnicze
19556,Lacsa
19557,Luftransport-Unternehmen
19558,El Al Israel Airlines Ltd.
19559,Compania Mexicana De Aviaci
19560,N. W. Territorial Airways
19561,Olympic Airways
19562,Polynesian Airlines Ltd.
19563,Pakistan International Airlines
19564,Philippine Airlines Inc.
19565,Surinam Airways Limited
19566,Qantas Airways Ltd.
19567,Varig S. A.
19568,Alia-(The) Royal Jordanian
19569,Tarom Romanian Air Transpor
19570,South African Airways
19571,Scandinavian Airlines Sys.
19572,Singapore Airlines Ltd.
19573,Aeroflot Russian Airlines
19574,Taca International Airlines
19575,Thai Airways International Ltd.
19576,Tap-Portuguese Airlines
19577,Bahamasair Holding Limited
19578,Transtar Airlines Corp.
19579,Heavylift Cargo Airlines Lt
19580,Ladeco
19581,Altus Airlines
19582,Atlantic Air
19583,Aero International Airlines
19584,Northern Star
19585,Skytrain
19586,Trans Air Cargo Inc.
19587,T-Bird Air Inc.
19588,Royal West Airways Inc.
19589,Air East Of Delaware Inc.
19590,Atlanta Express
19591,Air New Orleans
19592,Air Vermont Inc.
19593,Dolphin Airways Inc.
19594,Devoe Airlines
19595,Golden Pacific Airlines
19596,National Florida Airlines
19597,Slocum Air Inc.
19598,State Airlines Inc.
19599,Air Molakai
19600,Williams Air Inc.
19601,Mission Air
19602,Guy-America Airways Inc.
19603,Pacific Express
19604,Northeastern International Airways
19605,Friendship Air Alaska
19606,Minuteman Aviation Inc.
19607,Virgin Islands Seaplane
19608,Flying Tiger Line Inc.
19609,Aerocondor
19610,Emerald Airlines Inc.
19611,Northern Airlines Inc.
19612,Pacific East Air Inc.
19613,Jet Charter Service Inc.
19614,Aeroservicios Ecuatorianos
19615,Arista International Airlines Inc.
19616,Kuwait Airways Corp.
19617,Burlington Aeroplane Co.
19618,Desert Sun Airlines
19619,Lake Union Air Service
19620,Aer Turas Teoranta
19621,Aero B Venezuela C.A.
19622,Air Ontario Limited
19623,Aer Lingus Plc
19624,Saudi Arabian Airlines Corp
19625,Air Polynesia d/b/a DHL Cargo
19626,Air Natl Aircraft Sal & Ser
19627,A/S Conair
19628,Dash Air Corporation
19629,Air Resorts Airlines
19630,Manu'a Air Transport
19631,Pacific Cal Air
19632,Service Aviation Inc.
19633,The Time Machine
19634,Servicio De Carga Aerea Sa
19635,Hapag Lloyd Flug.
19636,Air One Inc.
19637,Middle East Airlines S.A.L.
19638,Arcata Flying Service
19639,Grand Canyon Airlines
19640,Kodiak Airways Inc.
19641,Mid-Atlantic Exp. Airlines
19642,National Commuter Airlines
19643,Sundorph Aeronautical Corp.
19644,Waring Air
19645,All Star Airlines Inc.
19646,Aeron International Airlines Inc.
19647,Jet Fleet Intl. Airlines
19648,Markair Express
19649,Alaska Island Air Inc.
19650,Air Sunshine Inc.
19651,Eastman Airways Inc.
19652,Spirit Helicopter
19653,Air National
19654,Executive Charter
19655,Aviation Associates
19656,Airmarc Airlines Inc.
19657,Panorama Air Tours
19658,Trans-Air-Link Corporation
19659,Audi Air Inc.
19660,Galaxy Airlines Inc.
19661,Intl Air Service Co. Ltd.
19662,Transbrasil S.A.
19663,Hawkins And Powers Aviation
19664,Jet East Inc.
19665,Air Sedona
19666,Caribbean Express Inc.
19667,Tri-State Airlines Inc.
19668,Frontier Horizon Inc.
19669,Aermediterranea S.P.A.
19670,Markair Inc.
19671,Air Tungaru Corporation
19672,Resort Airlines Inc.
19673,Alpine Air
19674,Americair Inc.
19675,Airspur Helicopters Inc.
19676,Silver Kris Services Ltd.
19677,Buffalo Airways Inc.
19678,Aloha Airlines Inc.
19679,Air Spirit Inc.
19680,Metro Express
19681,Frontier Commuter
19682,Virgin Atlantic Airways
19683,Airmark Corporation
19684,Independent Air Inc.
19685,Aerial Transit Company
19686,Westflight Aviation
19687,Horizon Air
19688,Midway Express Airlines
19689,St. Lucia Airways Limited
19690,Hawaiian Airlines Inc.
19691,Pacific Air Express Inc.
19692,Trump Air
19693,North Pacific Airlines Inc.
19694,Flirite Inc.
19695,Talarik Creek Air Taxi
19696,Royale Airlines Inc.
19697,Worldways Canada Ltd.
19698,Air Charter (Safa)
19699,Samoa Airlines Inc.
19700,Alpha Air
19701,Jetaire Airlines Inc.
19702,Haiti Air
19703,Harbor Air Service
19704,Continental Air Lines Inc.
19705,Interstate Airlines Inc.
19706,Hawaii Pacific Helicopters
19707,Eastern Air Lines Inc.
19708,Chisum Flying Service
19709,AvAir
19710,Armstrong Air Service Inc.
19711,Eagle Airline
19712,Business Express Airlines
19713,Alliance Airlines
19714,Astor Air
19715,West Penn Commuter
19716,Barken International
19717,Commuter Airlines (Ca)
19718,Cresent Medivac
19719,Coastal Air Transport
19720,Exec Express
19721,La Skycab Airline
19722,National Air
19723,Omniflight Airways
19724,Southern Express Airways
19725,Turner Aire
19726,AAR Western Skyways
19727,Skybus Inc.
19728,Caicos Caribbean Airways
19729,Jet Express
19730,Regent Air Corporation
19731,Westates Airlines
19732,Action Airlines
19733,California Seaboard
19734,Enterprise Airlines Inc.
19735,Island Air Express
19736,Maui Airlines
19737,Metro Express 11
19738,Otter Air
19739,Prime Air Inc.
19740,Sallee's Aviation
19741,Wrangell Air Service
19742,Atlantic Gulf Airlines
19743,Skyworld Airlines Inc.
19744,Presidential Airways Inc.
19745,Caribbean Air Cargo Co Ltd.
19746,P.T. Garuda Indonesian Arwy
19747,Egyptair
19748,Bay Air
19749,Five Star Airlines
19750,King Flying Service
19751,Le Point Air
19752,Barrow Air
19753,Big Island Air
19754,Cityhop
19755,GP Express Airlines
19756,Iowa Airways
19757,Mountain West Airlines
19758,Resort Commuter
19759,Texas National Airlines
19760,Air Hawaii
19761,Aerotal
19762,Air L.A.
19763,Aero Coach
19764,Air Link Airways
19765,Million Air
19766,Helitrans
19767,La Helicopter
19768,Omniflight Helicopters
19769,Reeves Air
19770,Compania Panamena (Copa)
19771,Zas Airline Of Egypt
19772,Polar International
19773,Hemisphere Air Charter
19774,Airways International
19775,Chicago Airlines
19776,Royal West Airlines
19777,Airpac Inc.
19778,Aerovias Venezolanas-Avensa
19779,Cathay Pacific Airways Ltd.
19780,Galena Air Service
19781,Stateswest Airlines
19782,Executive Transport
19783,Propheter Aviation
19784,Wise Airlines Inc.
19786,Haines Airways
19787,Great American Airways
19788,Air Puerto Rico Airlines
19789,Viacao Aerea Sao Paulo
19790,Delta Air Lines Inc.
19791,All Nippon Airways Co.
19792,International Parcel Express Inc.
19793,Anglo Airlines Ltd.
19794,Midcontinent Airlines
19795,Malaysian Airline System
19796,Pilgrim Aviation & Airlines
19797,Florida Express Inc.
19798,Orion Air
19799,Nationair
19800,Air Cape
19801,Lake Coastal
19802,Mst Aviation
19803,First Air
19804,Transportes Aereos De Cabo
19805,American Airlines Inc.
19806,Air Charter Systems (Acs)
19807,Helitac Aviation
19808,Belize Air International Ltd.
19809,Highland Express Airways
19810,Mid Pacific Airlines Inc.
19811,Aero Tranportes Panamenos
19812,Millon Air Inc.
19813,Air Caribe International
19814,Air South (1)
19815,Air South
19816,Bangor International Air
19817,Chester County Aviation
19818,East Coast Airways
19819,Hub Express
19820,Tropical Helicopter Airways
19821,Turk Hava Yollari A.O.
19822,Piedmont Aviation Inc.
19823,Air Train Inc.
19824,Haiti Air Freight Intl
19825,Ketchikan Air Service
19826,Salair Inc.
19827,Npa Inc.
19828,Air America
19829,Time Air Ltd.
19830,Nippon Cargo Airlines
19831,Seagull Air Service
19832,Nasville Eagle
19833,Aleutian Air
19834,Custom Air Service
19835,GCS Air Service
19836,Golden State Airlines
19837,Springdale Air
19838,Sportsman Flying Service
19839,Saeta Airlines
19840,Aerolineas Mundo
19841,Tropical Airways Inc.
19842,Grenada Airways Ltd.
19843,Mid Pacific Air Corp.
19844,Exec Express II
19845,Taquan Air Service
19846,Chartair
19847,Laredo Air
19848,Qwest Commuter
19849,Tri Air Freight
19850,Wra Inc.
19851,Zambia Airways Corp.
19852,Swissair Transport Co. Ltd.
19853,Airlift International
19854,Pacair
19855,Bradley Air Services Ltd.
19856,Corse Air International
19857,Iraqi Airways
19858,Monarch Airlines
19859,Vacationair
19860,Lineas Aereas La-Tur Sa
19861,Holidair Airways
19862,Aerovias S.A.
19863,Alas De Transporte International
19864,Transamerica Airlines Inc.
19865,Haiti Trans Air
19866,Canadian Aviation Express
19867,Japan Air System Co. Ltd.
19868,Manhattan Express
19869,Britannia Airways Ltd.
19870,Aero Freight
19871,Panama Aviation
19872,Welch Aviation
19873,Austrian Airlines
19874,Air Transport International
19875,Aero California
19876,Heritage Airlines
19877,Kitty Hawk Air Cargo
19878,Columbia Pacific Airlines (1)
19879,Columbia Pacific Airlines
19880,Central States Air Lines
19881,Mohawk Airlines
19882,Skymaster
19883,Novair International Airways Ltd.
19884,TPI International Airways
19885,Universal Airlines Inc.
19886,Aruba Cargo
19887,Latcr
19888,Transcarga
19889,Venexcargo
19890,Aeroejecutivos C.A.
19891,Aeropuma
19892,Aeronautica De Cancun
19893,Aerovias Colombianas Arca
19894,Zuliana De Aviacion
19895,Interamericana De Aviacion
19896,Fast Air Carrier Ltd.
19897,Lineas Aereas Mayas (Lamsa)
19898,Emery Worldwide Airlines
19899,Hong Kong Dragonair
19900,Air Marshall Islands Inc.
19901,Blue Bell Inc.
19902,Wrangler Aviation Inc.
19903,Conquest Airline Corp.
19904,Air Southeast
19905,California Air Shuttle
19906,Northcoast Executive
19907,Scott Aviation
19908,Trans Air (Hawaii)
19909,Air Belgium
19910,Aerolineas Latinas
19911,Air Aruba
19912,Cayman Airways Limited
19913,Belize Trans Air
19914,Air Liberte
19915,Sea Air Shuttle
19916,Primeras Lineas Uruguays For International
19917,United Parcel Service
19918,Gulf Air Taxi
19919,Adirondack Airlines
19920,Corporate Air
19921,Drummond Island Air
19922,Gulf Flite Center
19923,Lapsa
19924,L'Express
19925,Travelair
19926,Valley Air Services
19927,Aerosur (1)
19928,Central American Airlines
19929,Charter One
19930,Alaska Airlines Inc.
19931,Regal Air
19932,Apa International Air S.A.
19933,Air New Zealand
19934,Das Air Cargo
19935,Star Aviation
19936,Territorial Airlines
19937,Loken Aviation
19938,Dawn Air
19939,Flying Boat
19940,Caraven S.A.
19941,Trans Europ. Airways France
19942,General Air Cargo
19943,Allied Airlines
19944,Airvantage
19945,Chicago Air Taxi
19946,Great Western Aviation
19947,Paradise Island Airlines
19948,Redwing Airways
19949,Lauda Air Luftfahrt Ag
19950,Flagship Express Services
19951,Braniff International Airlines Inc.
19952,Carnival Air Lines Inc.
19953,Transportes Aereos Mercantiles Panamericanos S.A
19954,Japan Air Charter Co. Ltd.
19955,Affretair
19956,Servicios Avensa
19957,Mcclain Airlines Inc.
19958,China Eastern Airlines
19959,Dulles Express
19960,Skybus Express Airlines
19961,Air Transat
19962,Hawaii Pacific Air
19963,World Air Network
19964,Island Express
19965,Rocky Mountain Helicopters
19966,Sierra Nevada Airways
19967,Trans World Express
19968,Arizona Pacific Airways
19969,International Cargo Xpress
19970,Northeast Express Regional (1)
19971,Northeast Express Regional
19972,Av Atlantic
19973,Aerotour Dominicano Cxa
19974,Aero Uruguay (1)
19975,Aero Uruguay
19976,Air North
19977,United Air Lines Inc.
19978,Air Alpha
19979,Alliance Air
19980,Florida Air
19981,Patriot Airlines Inc.
19982,USAir Shuttle
19983,Key Airlines Inc.
19984,Translift Airways Limited
19985,Turks Air Ltd.
19986,Turks Air Ltd. (1)
19987,Advantage Airlines
19988,Air West Airlines
19989,Keene Airways
19990,Sky One Express
19991,America West Airlines Inc.
19992,Hispaniola Airways
19993,Airmark Airlines Inc.
19994,Reno Air Inc.
19995,Aces Airlines
19996,Nicaraguense De Aviacion Sa
19997,Jet America Airlines Inc.
19998,Sierra Pacific Airlines
19999,South Pacific Island Airway
20000,Time Air Sweden Ab
20001,Tranps Aereos Guatemaltecos
20002,Morris Air Corporation
20003,Balkan Bulgarian Airlines
20004,Cal Air International Ltd.
20005,Eva Airways Corporation
20006,Capitol Air Express Inc.
20007,Atlas Air Inc.
20008,Ram Aviation
20009,Eclipse Airlines
20010,Aero Transcolombiana
20011,Air Casino
20012,Express Airlines II
20013,Rader Aviation
20014,Trans American Charter
20015,Export Air Del Peru S.A.
20016,Lineas Aereas Allegro
20017,Continental Micronesia
20018,J.D.Valenciana De Aviation
20019,Private Jet Expeditions
20020,Eagle Airlines
20021,Eagle Airlines (1)
20022,Leisure International Airways Ltd.
20023,Malev Hungarian Airlines
20024,Serv. Aerolineas Mexicanas
20025,Lineas Aereas Suramerican
20026,Quassar De Mexico
20027,Oasis International Airlines S.A.
20028,Aerochago S.A.
20029,Transp. Aereos Ejecutivos
20030,Aerolineas Uruguayas S.A.
20031,People Express Airlines Inc.
20032,Air Europe S.P.A.
20033,UFS Inc.
20034,Pacific International Airlines
20035,Air Florida Express
20036,American Flight Group
20037,Aviation Sales
20038,Business Helicopters
20039,Four Star Aviation
