Code,Description,Dom / Int
1193,Eastern Airlines Group Inc. ,Domestic
1194,"Jet Aviation Flight Services, Inc. ",Domestic
1195,Menagerie Enterprises Inc d/b/a Monarch Air ,Domestic
1196,Erickson Helicopters ,Domestic
1199,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit ",Domestic
1200,Elite Airways LLC ,Domestic
1201,Elite Airways LLC (System),NA
1202,Delux Public Charter LLC ,Domestic
1203,Tropic Ocean Airways LLC ,Domestic
1205,LIMA NY Corp d/b/a Fly The Whale d/b/a Tailwind ,Domestic
1206,21 Air LLC ,Domestic
1207,21 Air LLC (System),NA
1209,Trans Northern Airways d/b/a Air Unlimited Charter Services ,Domestic
1210,"Maine Aviation Aircraft Charter, LLC ",Domestic
1212,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service ",Domestic
1216,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky (Dom",NA
1220,Continental Air Lines Inc. ,Domestic
1221,"Polaris Aviation Solutions, LLC (System)",NA
1223,"Polaris Aviation Solutions, LLC ",Domestic
1224,"Aztec Worldwide Airlines, Inc.  d/b/a  Aztec Airways ",Domestic
1225,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC (System)",NA
1226,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC ",Domestic
1228,Key Lime Air Corporation ,Domestic
1229,"ADVANCED AIR, LLC ",Domestic
1230,"Maritime Helicopters, Inc. ",Domestic
1260,Delta Air Lines Inc. ,Domestic
1600,Northwest Airlines Inc. ,Domestic
1656,Pan American World Airways (1) ,Domestic
1930,Western Air Lines Inc. ,Domestic
2040,US Airways Inc. ,Domestic
2120,Braniff Inc. ,Domestic
2330,Frontier Airlines Inc. (1) ,Domestic
2625,Ozark Air Lines Inc. (1) ,Domestic
2680,Piedmont Aviation Inc. ,Domestic
2750,Republic Airlines Inc. ,Domestic
2849,Transamerica Airlines Inc. (System),NA
4350,Markair Inc. ,Domestic
4530,Munz Northern Airlines Inc. ,Domestic
4590,Wien Air Alaska Inc. ,Domestic
4720,Reeve Aleutian Airways Inc. ,Domestic
5045,Aloha Airlines Inc. ,Domestic
5375,Hawaiian Airlines Inc. ,Domestic
6000,Accessair Holdings ,Domestic
6001,Aerial Transit Company (System),NA
6002,Aerial Transit Company ,Domestic
6003,Republic Airlines ,Domestic
6004,Omega Air Holdings d/b/a Focus Air (System),NA
6006,Omega Air Holdings d/b/a Focus Air ,Domestic
6007,Flight International (System),NA
6008,Flight International ,Domestic
6009,Air Atlanta Inc. ,Domestic
6010,Air California Inc. ,Domestic
6012,Air Hawaii ,Domestic
6013,Air Illinois Inc. ,Domestic
6014,Air One Inc. ,Domestic
6015,Air Florida Inc. ,Domestic
6018,Emery Worldwide Airlines ,Domestic
6019,Alaska Central Express ,Domestic
6020,Air Wisconsin Airlines Corp ,Domestic
6021,Airpac Inc. ,Domestic
6022,Airmark Corporation (System),NA
6023,Airmark Corporation ,Domestic
6024,Air Wisconsin Airlines Corp ,Domestic
6025,Air National ,Domestic
6026,Air Puerto Rico Airlines (System),NA
6027,Air Puerto Rico Airlines ,Domestic
6028,Air Transport International (System),NA
6029,Air Transport International ,Domestic
6030,AirTran Airways Corporation ,Domestic
6031,Alaska Airlines Inc. ,Domestic
6032,Air South Inc. (1) ,Domestic
6033,All Star Airlines Inc. (System),NA
6034,All Star Airlines Inc. ,Domestic
6035,Allegiant Air ,Domestic
6036,Air 21 ,Domestic
6037,UltrAir (System),NA
6038,Sky King Inc. (System),NA
06038 (1),UltrAir ,Domestic
6039,Sky King Inc. ,Domestic
6041,NetJets Large Aircraft Company L.L.C. (System),NA
6042,American International Airways Inc. (System),NA
6043,American International Airways Inc. ,Domestic
6044,Aviation Concepts ,Domestic
6045,Aviation Concepts (System),NA
6047,ATA Airlines d/b/a ATA (System),NA
6048,ATA Airlines d/b/a ATA ,Domestic
6049,America West Airlines Inc. ,Domestic
6051,Amerijet International (System),NA
6052,Amerijet International ,Domestic
6053,Airmark Airlines Inc. (System),NA
6054,Airmark Airlines Inc. ,Domestic
6055,Ameristar Air Cargo ,Domestic
6057,Arista International Airlines Inc. (System),NA
6058,Arista International Airlines Inc. ,Domestic
6060,Arrow Air Inc. (System),NA
6061,Arrow Air Inc. ,Domestic
6069,Asia Pacific (System),NA
6070,Asia Pacific ,Domestic
6075,Aspen Airways Inc. ,Domestic
6076,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines ",Domestic
6077,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines (System)",NA
6080,Atlantic Gulf Airlines ,Domestic
6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways ,Domestic
6085,ExpressJet Airlines Inc. ,Domestic
6086,Atlas Air Inc. (System),NA
6087,Atlas Air Inc. ,Domestic
6091,Av Atlantic (System),NA
6092,Av Atlantic ,Domestic
6093,Bellair Inc. ,Domestic
6095,Best Airlines Inc. ,Domestic
6110,Blue Bell Inc. (System),NA
6111,Blue Bell Inc. ,Domestic
6120,Braniff International Airlines Inc. ,Domestic
6130,ExpressJet Airlines Inc. (1) ,Domestic
6136,Buffalo Airways Inc. (System),NA
6137,Buffalo Airways Inc. ,Domestic
6140,Business Express ,Domestic
6143,XTRA Airways (System),NA
6144,XTRA Airways ,Domestic
6150,Capitol International Inc. ,Domestic
6159,Capitol Air Express Inc. (System),NA
6160,Capitol Air Express Inc. ,Domestic
6164,Capital Cargo International (System),NA
6165,Capital Cargo International ,Domestic
6166,Chicago Express Airlines ,Domestic
6170,"Astar USA, LLC ",Domestic
6175,Custom Air Transport ,Domestic
6178,Centurion Cargo Inc. (System),NA
6179,Centurion Cargo Inc. ,Domestic
6180,Cascade Airways Inc. ,Domestic
6181,Challenge Air International Inc. (System),NA
6182,Challenge Air International Inc. ,Domestic
6183,Challenge Air Transport Inc. (System),NA
6184,Challenge Air Transport Inc. ,Domestic
6185,Colgan Airways Inc. ,Domestic
6186,Comair Inc. ,Domestic
6187,ExpressJet Airlines Inc. (1) ,Domestic
6188,Conner Air Lines Inc. (System),NA
6189,Conner Air Lines Inc. ,Domestic
6191,Kitty Hawk International ,Domestic
6194,Discovery Airways Inc. ,Domestic
6195,Emerald Airlines Inc. ,Domestic
6196,Executive Airlines ,Domestic
6197,Evergreen International Inc. (System),NA
6198,Evergreen International Inc. ,Domestic
6200,Federal Express Corporation ,Domestic
6201,Florida Express Inc. ,Domestic
6202,Five Star Airlines (System),NA
6203,Five Star Airlines ,Domestic
6205,Flagship Airlines Inc. ,Domestic
6206,Frontier Horizon Inc. ,Domestic
6220,Kiwi International ,Domestic
6279,Eagle Airlines (System),NA
6280,Eagle Airlines ,Domestic
6290,Eastwind Airlines Inc. ,Domestic
6299,Empire Airlines Inc. ,Domestic
6300,Empire Airlines Inc. ,Domestic
6399,Falcon Air Express (System),NA
6400,Falcon Air Express ,Domestic
6450,Fine Airlines Inc. (System),NA
6451,Fine Airlines Inc. ,Domestic
6460,Frontier Airlines Inc. ,Domestic
6500,Galaxy Airlines Inc. ,Domestic
6501,Galaxy Airlines Inc. (System),NA
6510,Gemini Air Cargo Airways ,Domestic
6534,Global International Airways Corp. (System),NA
6535,Global International Airways Corp. ,Domestic
6540,Grand Airways Inc. ,Domestic
6549,Great American Airways (System),NA
6550,Great American Airways ,Domestic
6560,Gulf Air Transport Inc. (System),NA
6561,Gulf Air Transport Inc. ,Domestic
6564,Gulf And Caribbean Cargo (System),NA
6565,Gulf And Caribbean Cargo ,Domestic
6570,Guy-America Airways Inc. ,Domestic
6580,Horizon Air ,Domestic
6610,Independent Air Inc. (System),NA
6611,Independent Air Inc. ,Domestic
6619,International Cargo Xpress (System),NA
6620,International Cargo Xpress ,Domestic
6624,Interstate Airlines Inc. (System),NA
6625,Interstate Airlines Inc. ,Domestic
6630,Intl Air Service Co. Ltd. ,Domestic
6669,Great Plains Airlines Inc. ,Domestic
6670,Jet America Airlines Inc. ,Domestic
6673,JetBlue Airways ,Domestic
6675,Jet Charter Service Inc. (System),NA
6676,Jet Charter Service Inc. ,Domestic
6677,Jet Fleet Intl. Airlines (System),NA
6678,Jet Fleet Intl. Airlines ,Domestic
6680,Jettrain Airlines ,Domestic
6681,Express One International Inc. (System),NA
6682,Express One International Inc. ,Domestic
6683,Kalitta Air LLC ,Domestic
6684,Kalitta Air LLC (System),NA
6685,Key Airlines Inc. ,Domestic
6687,Kitty Hawk Aircargo (System),NA
6688,Kitty Hawk Aircargo ,Domestic
6689,Mesa Airlines Inc. ,Domestic
6690,Miami Air International ,Domestic
6691,Miami Air International (System),NA
6692,Mesaba Airlines ,Domestic
6693,Midway Airlines Inc. ,Domestic
6694,Legend Airlines ,Domestic
6695,Morris Air Corporation ,Domestic
6696,Laker Airways Inc. (System),NA
6697,Laker Airways Inc. ,Domestic
6698,Lorair Ltd. ,Domestic
6699,Lynden Air Cargo Airlines ,Domestic
6700,SkyWest Airlines Inc. ,Domestic
6701,Millon Air Inc. (System),NA
6702,Millon Air Inc. ,Domestic
6705,Mid-South Aviation Inc. ,Domestic
6706,"Midwest Airline, Inc. ",Domestic
6707,Midway Express Airlines ,Domestic
6708,Transtar Airlines Corp. ,Domestic
6709,Northeastern International Airways ,Domestic
6710,Mid Pacific Airlines Inc. ,Domestic
6711,Mcclain Airlines Inc. ,Domestic
6712,Empire Airlines Inc. (1) ,Domestic
6716,Midway Airlines Inc. (1) ,Domestic
6719,New York Air Inc. ,Domestic
6720,Pacific Southwest Airlines ,Domestic
6721,Northern Air Cargo Inc. ,Domestic
6722,Pilgrim Aviation & Airlines ,Domestic
6723,T-Bird Air Inc. ,Domestic
6725,Southwest Airlines Co. ,Domestic
6726,T-Bird Air Inc. (System),NA
6727,Orion Air (System),NA
6728,Orion Air ,Domestic
6729,Champion Air ,Domestic
6730,North American Airlines ,Domestic
6733,Nations Air Express Inc. ,Domestic
6734,Sunworld International Airways Inc. ,Domestic
6736,Omni Air International LLC (System),NA
6737,National Airlines ,Domestic
6738,Omni Air International LLC ,Domestic
6740,Overseas National Airways (System),NA
6743,Pacific East Air Inc. ,Domestic
6745,Pacific Express ,Domestic
6746,Florida West Airlines Inc. (System),NA
6747,Florida West Airlines Inc. ,Domestic
6748,Carnival Air Lines Inc. ,Domestic
6749,Pan American Airways Corp. (System),NA
6750,People Express Airlines Inc. ,Domestic
6751,Carnival Air Lines Inc. (System),NA
6752,Pan American Airways Corp. ,Domestic
6753,Prestige Airways ,Domestic
6754,Patriot Airlines Inc. (System),NA
6755,Patriot Airlines Inc. ,Domestic
6756,Skyworld Airlines Inc. ,Domestic
6757,Trans World Airways LLC ,Domestic
6758,Polar Air Cargo Airways ,Domestic
6759,Presidential Airways Inc. ,Domestic
6761,Private Jet Expeditions (System),NA
6762,Private Jet Expeditions ,Domestic
6764,Pace Airlines (System),NA
6765,Pace Airlines ,Domestic
6766,Pan American World Airways ,Domestic
6767,Panagra Airways (System),NA
6768,Panagra Airways ,Domestic
6769,Pro Air Inc. ,Domestic
6770,Regent Air Corporation ,Domestic
6771,Renown Aviation (System),NA
6772,Renown Aviation ,Domestic
6773,Reliant Airlines (System),NA
6774,Kalitta Charters II ,Domestic
06774 (1),Reliant Airlines ,Domestic
6775,Reno Air Inc. ,Domestic
6776,Planet Airways ,Domestic
6777,Planet Airways (System),NA
6785,Royal West Airlines ,Domestic
6788,Royale Airlines Inc. ,Domestic
6789,Ryan International Airlines (System),NA
6790,Ryan International Airlines ,Domestic
6791,Ryan International Airlines ,Domestic
6792,Suncoast Airlines Inc. (System),NA
6793,Suncoast Airlines Inc. ,Domestic
6794,Sun Country Airlines d/b/a MN Airlines (System),NA
6795,Sun Country Airlines d/b/a MN Airlines ,Domestic
6796,Sun Pacific International (System),NA
6797,Sun Pacific International ,Domestic
6798,Sierra Pacific Airlines ,Domestic
6799,Sky Trek International Airlines (System),NA
6800,Skystar International Inc. (System),NA
6801,Skystar International Inc. ,Domestic
6802,Sky Trek International Airlines ,Domestic
6805,Skybus Inc. ,Domestic
6815,Ameristar Air Cargo (System),NA
6818,Ccair ,Domestic
6819,Seaborne Aviation ,Domestic
6820,Envoy Air ,Domestic
6824,Pacific International Airlines Inc. (System),NA
6825,Pacific International Airlines Inc. ,Domestic
6829,Rio Grande Air ,Domestic
6830,Spirit Air Lines ,Domestic
6840,Southern Air Inc. (System),NA
6841,Southern Air Inc. ,Domestic
6847,Sunrise Airlines Inc. ,Domestic
6850,Southeast Airlines ,Domestic
6852,Sunworld International Airlines (System),NA
6853,Sunworld International Airlines ,Domestic
6855,Tower Air Inc. ,Domestic
6860,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo ,Domestic
6870,The Hawaii Express Inc. ,Domestic
6879,Air America (System),NA
6880,Air America ,Domestic
6882,Sky Lease Cargo (System),NA
6883,TPI International Airways (System),NA
6884,Sky Lease Cargo ,Domestic
6885,TransMeridian Airlines (System),NA
6886,TransMeridian Airlines ,Domestic
6888,Silver Airways ,Domestic
6889,Trans-Air-Link Corporation (System),NA
6890,Trans-Air-Link Corporation ,Domestic
6891,Valley Air Express Inc. ,Domestic
6892,Trans American Charter (System),NA
6893,Trans American Charter ,Domestic
6894,Ozark Air Lines Inc. ,Domestic
6895,Express.Net Airlines (System),NA
6896,Express.Net Airlines ,Domestic
6898,Tristar Airlines Inc. ,Domestic
6899,Arizona Express ,Domestic
6900,Trans International Airlines Inc. (System),NA
6901,Friday Harbor Seaplanes ,Domestic
06901 (1),Trans International Airlines Inc. ,Domestic
6902,Ward Air ,Domestic
06902 (1),Trans Continental Airlines (System),NA
6903,Vintage Props & Jets Inc. ,Domestic
06903 (1),Trans Continental Airlines ,Domestic
6904,Trans States Airlines ,Domestic
6905,Tropical Airways Inc. (System),NA
6906,Tropical Airways Inc. ,Domestic
6907,USAir Shuttle ,Domestic
6908,UFS Inc. ,Domestic
6909,Skyway Airlines ,Domestic
6910,United Parcel Service ,Domestic
6911,Shuttle America Corp. ,Domestic
06911 (1),USA Jet Airlines Inc. (System),NA
6912,USA Jet Airlines Inc. ,Domestic
6913,Samoa Aviation Inc. ,Domestic
6914,Vanguard Airlines Inc. ,Domestic
6915,Universal Airlines Inc. (System),NA
6916,USAfrica Airways Inc. ,Domestic
6917,Potomac Air ,Domestic
06917 (1),Valujet Airlines Inc. ,Domestic
6918,Piedmont Airlines ,Domestic
06918 (1),Viscount Air Service Inc. (System),NA
6919,Viscount Air Service Inc. ,Domestic
6920,Pacific Island Aviation ,Domestic
06920 (1),Westair Airlines Inc. ,Domestic
6921,USA 3000 Airlines ,Domestic
6922,Western Pacific Airlines ,Domestic
6923,Northwest Seaplanes ,Domestic
6924,New England Airlines Inc. ,Domestic
6925,Nevis Express ,Domestic
06925 (1),Wilburs Inc. ,Domestic
6926,Mountain Bird/Salmon Air ,Domestic
6927,Kenmore Air Harbor ,Domestic
06927 (1),Winair Inc. ,Domestic
6929,World Airways Inc. (System),NA
6930,World Airways Inc. ,Domestic
6932,Great Lakes Airlines ,Domestic
6933,Grand Canyon Helicopters ,Domestic
6934,Freedom Air ,Domestic
6935,Flying Boat Inc. ,Domestic
6936,F.S. Air Service ,Domestic
6940,Ellis Air Taxi Inc. ,Domestic
06940 (1),Worldwide Airlines Inc. (System),NA
6941,Worldwide Airlines Inc. ,Domestic
6942,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines (Domest",NA
6943,"Regions Air, Inc. ",Domestic
6944,"Commutair Aka Champlain Enterprises, Inc. ",Domestic
6945,Worldwide Airlines Services (System),NA
6946,Worldwide Airlines Services ,Domestic
6947,Chautauqua Airlines Inc. ,Domestic
6951,Boston-Maine Airways ,Domestic
6953,Big Sky Airlines Inc. ,Domestic
6954,Bemidji Airlines ,Domestic
6955,Atlantic Coast Jet Inc. ,Domestic
6956,Independence Air ,Domestic
6957,Island Air Hawaii ,Domestic
6958,Allegheny Airlines ,Domestic
6959,Air-Serve ,Domestic
6961,Air St. Thomas ,Domestic
6962,Air Midwest Inc. ,Domestic
6963,Air Excursions LLC (1) ,Domestic
6964,Yute Air Aka Flight Alaska ,Domestic
6965,Wright Air Service ,Domestic
6966,"Seaport Airlines, Inc. ",Domestic
6967,Warbelow ,Domestic
6968,Venture Travel LLC d/b/a Taquan Air Service ,Domestic
6969,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service ",Domestic
6970,Spernak Airways Inc. ,Domestic
6971,Smokey Bay Air Inc. ,Domestic
6972,Skagway Air Service ,Domestic
6973,"Dynamic Aviation, Inc. d/b/a Beacon ",Domestic
6974,Promech ,Domestic
6975,Peninsula Airways Inc. ,Domestic
6976,Olson Air Service ,Domestic
6977,Freedom Airlines d/b/a HP Expr ,Domestic
6978,Larrys Flying Service ,Domestic
6979,L.A.B. Flying Service Inc. ,Domestic
6980,Katmai Air ,Domestic
6981,Island Air Service ,Domestic
6982,Inland Aviation Services ,Domestic
6983,Iliamna Air Taxi ,Domestic
6984,Hageland Aviation Service ,Domestic
6985,Grant Aviation ,Domestic
6987,Frontier Flying Service ,Domestic
6989,Era Aviation ,Domestic
6990,Cape Smythe Air Service ,Domestic
6991,Village Aviation ,Domestic
6992,Bering Air Inc. ,Domestic
6993,Bellair Inc. (1) ,Domestic
6994,Baker Aviation Inc. ,Domestic
6995,Arctic Transportation ,Domestic
6996,Arctic Circle Air Service ,Domestic
6997,Kalinin Aviation LLC d/b/a Alaska Seaplanes ,Domestic
6999,40-Mile Air ,Domestic
7015,Air Midwest Inc. ,Domestic
7016,Florida Coastal Airlines ,Domestic
7018,Colgan Air ,Domestic
7019,Westward Airways Inc. ,Domestic
7020,Pacific Wings Airlines ,Domestic
7021,Cape Air ,Domestic
7022,NetJets Large Aircraft Company L.L.C. ,Domestic
7023,Vieques Air Link Inc. ,Domestic
7024,Endeavor Air Inc. ,Domestic
7025,Victory Air Transport Inc. ,Domestic
7027,Primaris Airlines Inc. ,Domestic
7028,PSA Airlines Inc. ,Domestic
7029,National Air Cargo Group Inc d/ba National Airlines ,Domestic
7030,Homer Air ,Domestic
7040,Sky West Aviation Inc. ,Domestic
7041,GoJet Airlines LLC d/b/a United Express ,Domestic
7050,MAXjet ,Domestic
7053,"Mn Aviation, Inc. ",Domestic
9320,Flying Tiger Line Inc. ,Domestic
9739,Airlift International Inc. (System),NA
9740,Airlift International Inc. ,Domestic
9749,Rich International Airways (System),NA
9750,Rich International Airways ,Domestic
9754,Flagship Express Services (System),NA
9755,Flagship Express Services ,Domestic
9786,Southern Air Transport Inc. ,Domestic
9790,Zantop International ,Domestic
0A050,American Airlines Inc. ,Domestic
0A285,Eastern Air Lines Inc. ,Domestic
0A845,Trans World Airways LLC ,Domestic
0A875,United Air Lines Inc. ,Domestic
10004,"Abaco Air, Ltd. ",International
10005,Challenge Air Luftverkehrs GmbH ,International
10025,Air Micronesia Inc. (Pacific),NA
10049,American Airlines Inc. (Atlantic),NA
10050,American Airlines Inc. (Latin America),NA
10052,American Airlines Inc. (Pacific),NA
10219,Continental Air Lines Inc. (Atlantic),NA
10220,Continental Air Lines Inc. (Latin America),NA
10221,Continental Air Lines Inc. (Pacific),NA
10260,Delta Air Lines Inc. (Latin America),NA
10261,Delta Air Lines Inc. (Atlantic),NA
10262,Delta Air Lines Inc. (Pacific),NA
10284,Eastern Air Lines Inc. (Atlantic),NA
10285,Eastern Air Lines Inc. (Latin America),NA
10600,Northwest Airlines Inc. (Pacific),NA
10601,Northwest Airlines Inc. (Atlantic),NA
10652,Pan American World Airways (1) (Atlantic),NA
10653,Pan American World Airways (1) (Latin America),NA
10654,Pan American World Airways (1) (Pacific),NA
10845,Trans World Airways LLC (Atlantic),NA
10847,Trans World Airways LLC (Latin America),NA
10874,United Air Lines Inc. (Atlantic),NA
10876,United Air Lines Inc. (Latin America),NA
10877,United Air Lines Inc. (Pacific),NA
10930,Western Air Lines Inc. (Latin America),NA
11005,"Cargo 360, Inc. (Pacific)",NA
11007,US Airways Inc. (Pacific),NA
11009,ABX Air Inc (Atlantic),NA
11010,Northwest Airlines Inc. (Latin America),NA
11015,Compass Airlines (Latin America),NA
11017,"Prescott Support Company, Inc. ",International
11018,ABX Air Inc (Pacific),NA
11019,"Dynamic Airways, LLC ",International
11020,Virgin America (Latin America),NA
11021,Vision Airlines (Latin America),NA
11022,Mesa Airlines Inc. (Latin America),NA
11023,Horizon Air (Latin America),NA
11024,Allegiant Air (Latin America),NA
11025,SkyWest Airlines Inc. (Latin America),NA
11026,Comair Inc. (Latin America),NA
11027,Endeavor Air Inc. (Latin America),NA
11029,Republic Airlines (Latin America),NA
11030,PSA Airlines Inc. (Latin America),NA
11033,Southwest Airlines Co. (Latin America),NA
11034,XTRA Airways (Latin America),NA
11035,Chautauqua Airlines Inc. (Atlantic),NA
11038,Republic Airlines (Atlantic),NA
11040,Lynden Air Cargo Airlines ,International
11041,Northern Air Cargo Inc. ,International
11042,Western Global ,International
11043,Orange Air ,International
11044,Songbird Airways Inc. ,International
11045,Eastern Airlines Group Inc. ,International
11046,"Jet Aviation Flight Services, Inc. ",International
11047,Elite Airways LLC ,International
11049,National Air Cargo Group Inc d/ba National Airlines ,International
11050,21 Air LLC ,International
11052,"Polaris Aviation Solutions, LLC ",International
11053,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC ",International
12040,US Airways Inc. (Atlantic),NA
12041,US Airways Inc. (Latin America),NA
12120,Braniff Inc. (Latin America),NA
12680,Piedmont Aviation Inc. (Atlantic),NA
12681,Piedmont Aviation Inc. (Latin America),NA
15045,Aloha Airlines Inc. (Pacific),NA
15375,Hawaiian Airlines Inc. (Pacific),NA
16002,Aerial Transit Company (Latin America),NA
16006,Omega Air Holdings d/b/a Focus Air ,International
16008,Flight International ,International
16013,Aeron International Airlines Inc. ,International
16015,Air Florida Inc. (Atlantic),NA
16016,Air Florida Inc. (Latin America),NA
16018,Emery Worldwide Airlines ,International
16020,Airmark Corporation ,International
16025,Air National ,International
16027,Air Puerto Rico Airlines (Latin America),NA
16028,Air Transport International (Atlantic),NA
16029,Air Transport International ,International
16030,AirTran Airways Corporation (Latin America),NA
16031,Alaska Airlines Inc. (Latin America),NA
16034,All Star Airlines Inc. ,International
16038,UltrAir ,International
16039,Sky King Inc. ,International
16042,American International Airways Inc. ,International
16044,Aviation Concepts ,International
16048,America West Airlines Inc. (Latin America),NA
16049,America West Airlines Inc. (Pacific),NA
16052,Amerijet International (Latin America),NA
16054,Airmark Airlines Inc. ,International
16055,ATA Airlines d/b/a ATA ,International
16056,ATA Airlines d/b/a ATA (Atlantic),NA
16057,Ameristar Air Cargo ,International
16059,Arista International Airlines Inc. ,International
16061,Arrow Air Inc. (Latin America),NA
16070,Asia Pacific ,International
16076,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines ",International
16080,Atlantic Gulf Airlines (Latin America),NA
16081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways ,International
16085,ExpressJet Airlines Inc. (Latin America),NA
16087,Atlas Air Inc. ,International
16092,Av Atlantic ,International
16111,Blue Bell Inc. ,International
16136,Buffalo Airways Inc. ,International
16144,XTRA Airways ,International
16150,Capitol International Inc. (Atlantic),NA
16151,Capitol International Inc. (Latin America),NA
16160,Capitol Air Express Inc. ,International
16165,Capital Cargo International ,International
16170,"Astar USA, LLC (Atlantic)",NA
16171,"Astar USA, LLC (Latin America)",NA
16180,Centurion Cargo Inc. (Latin America),NA
16181,Challenge Air International Inc. (Latin America),NA
16182,Challenge Air Transport Inc. (Latin America),NA
16187,ExpressJet Airlines Inc. (1) (Latin America),NA
16189,Conner Air Lines Inc. ,International
16190,Conner Air Lines Inc. (Latin America),NA
16191,Kitty Hawk International ,International
16192,Continental Micronesia (Pacific),NA
16194,Executive Airlines (Latin America),NA
16195,Federal Express Corporation (Latin America),NA
16196,Federal Express Corporation (Atlantic),NA
16197,Federal Express Corporation (Pacific),NA
16198,Florida West Airlines Inc. ,International
16199,Florida Express Inc. (Latin America),NA
16201,Evergreen International Inc. ,International
16202,Galaxy Airlines Inc. ,International
16203,Global International Airways Corp. ,International
16204,Five Star Airlines ,International
16208,Evergreen International Inc. (Pacific),NA
16210,Guy-America Airways Inc. (Latin America),NA
16211,"EOS Airlines, Inc. (Atlantic)",NA
16212,Independent Air Inc. ,International
16230,Jet Charter Service Inc. ,International
16250,Jet Fleet Intl. Airlines ,International
16270,Eagle Airlines ,International
16280,Key Airlines Inc. ,International
16281,Key Airlines Inc. (Latin America),NA
16300,Empire Airlines Inc. ,International
16400,Falcon Air Express ,International
16451,Fine Airlines Inc. ,International
16460,Frontier Airlines Inc. ,International
16461,Frontier Airlines Inc. (Latin America),NA
16510,Gemini Air Cargo Airways (Pacific),NA
16561,Gulf Air Transport Inc. ,International
16565,Gulf And Caribbean Cargo ,International
16590,Interstate Airlines Inc. ,International
16620,International Cargo Xpress ,International
16640,Orion Air ,International
16650,Overseas National Airways ,International
16664,Carnival Air Lines Inc. (Latin America),NA
16665,Carnival Air Lines Inc. ,International
16670,People Express Airlines Inc. (Atlantic),NA
16673,JetBlue Airways (Latin America),NA
16675,Skyworld Airlines Inc. ,International
16681,Express One International Inc. ,International
16683,Kalitta Air LLC ,International
16688,Kitty Hawk Aircargo (Latin America),NA
16690,Miami Air International ,International
16695,Morris Air Corporation ,International
16697,Laker Airways Inc. ,International
16698,Lorair Ltd. ,International
16700,Ryan International Airlines ,International
16702,Millon Air Inc. ,International
16703,Samoa Airlines Inc. (Pacific),NA
16710,T-Bird Air Inc. ,International
16713,Skystar International Inc. (Latin America),NA
