Code,Description,Dom / Int
0,Entity Code Is Blocked Out Due to Confidential Reasons,NA
1006,Virgin America ,Domestic
1100,"PM Air, LLC ",Domestic
1113,Harris Air Services ,Domestic
1124,"Cargo 360, Inc. ",Domestic
1126,Tradewind Aviation ,Domestic
1127,US Helicopter Corporation ,Domestic
1129,"Pacific Airways, Inc. ",Domestic
1130,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern ",Domestic
1131,Compass Airlines ,Domestic
1133,"Skybus Airlines, Inc. ",Domestic
1136,"Inter Island Airways, d/b/a Inter Island Air ",Domestic
1139,Lynx Aviation d/b/a Frontier Airlines ,Domestic
1141,Kalitta Charters II (System),NA
1142,Vision Airlines ,Domestic
1143,"Mokulele Flight Services, Inc. ",Domestic
1145,"Multi-Aero, Inc. d/b/a Air Choice One ",Domestic
1146,Aloha Air Cargo ,Domestic
1148,"Air Greco, Inc., d/b/a Wings Air ",Domestic
1150,Avjet Corporation ,Domestic
1151,Air Excursions LLC ,Domestic
1154,"Prescott Support Company, Inc. (System)",NA
1155,"Prescott Support Company, Inc. ",Domestic
1158,Via Airlines d/b/a Charter Air Transport ,Domestic
1159,"Dynamic Airways, LLC ",Domestic
1161,Island Airlines LLC ,Domestic
1162,"KaiserAir, Inc. ",Domestic
1163,Alsek Air ,Domestic
1164,"Dynamic Airways, LLC (System)",NA
1165,Twin Cities Air Service LLC ,Domestic
1166,Makani Kai Air Charters ,Domestic
1167,City Wings Inc dba Seaflight ,Domestic
1168,Sun Air Express LLC dba Sun Air International ,Domestic
1169,Star Marianas Air Inc. ,Domestic
1173,"Reeve Air Alaska, LLC ",Domestic
1175,Scott Air LLC dba Island Air Express ,Domestic
1176,Ultimate JetCharters LLC dba Ultimate Air Shuttle ,Domestic
1177,Boutique Air ,Domestic
1180,"Air Charter, Inc d/b/a Air Flamenco ",Domestic
1183,Western Global ,Domestic
1184,Orange Air ,Domestic
1185,Orange Air (System),NA
1189,CFM Inc d/b/a Contour Airlines ,Domestic
1190,Gem Air LLC ,Domestic
1192,Songbird Airways Inc. ,Domestic
